Year,Make,Model,Body,Category,0-60,Top Speed,Rating,0_60_sec,TopSpeed_mph
1995-1997,Ferrari,F50,Convertibl...,Hypercar,3.7 secs,202mph,70.0,3.7,202.0
1996-2001,Ferrari,550 Maranello,Coupe,Grand Tour...,4.2 secs,199mph,32.0,4.2,199.0
2002-2004,Ferrari,Enzo,Coupe,Hypercar,3.7 secs,220mph,70.0,3.7,220.0
2010-2012,Ferrari,599 GTO,-,Hypercar,3.3 secs,208mph,80.0,3.3,208.0
2013-2018,Ferrari,LaFerrari,"Coupe, Ope...",Hypercar,2.4 secs,217mph,83.0,2.4,217.0
1932-1937,Fiat,Balilla,Convertibl...,Popular Cl...,-,60mph,25.0,,60.0
1936-1948,Fiat,Topolino,Convertibl...,Popular Cl...,-,53mph,20.0,,53.0
1952-1954,Fiat,8V,Coupe,Grand Tour...,10.0 secs,118mph,65.0,10.0,118.0
1956-1967,Fiat,600 Multipla,Saloon,Popular Cl...,-,56mph,22.0,,56.0
1957-1975,Fiat,500,Coupe,Microcar,59.0 secs,62mph,15.0,59.0,62.0
1961-1969,Fiat,2300 S Coupé,Coupe,Popular Cl...,11.2 secs,119mph,19.0,11.2,119.0
1966-1973,Fiat,Dino Spider,Convertibl...,Grand Tour...,8.0 secs,130mph,56.0,8.0,130.0
1966-1975,Fiat,124 Spider,Convertibl...,Popular Cl...,12.2 secs,106mph,18.0,12.2,106.0
1967-1973,Fiat,Dino Coupé,Coupe,"Film Star,...",8.0 secs,128mph,30.0,8.0,128.0
1971-1977,Fiat,130 Coupé,Coupe,Popular Cl...,9.2 secs,122mph,20.0,9.2,122.0
1972-1990,Fiat,X1/9,Coupe,Popular Cl...,10.8 secs,110mph,18.0,10.8,110.0
1976-1978,Fiat,131 Abarth Rally,Saloon,Popular Cl...,7.9 secs,119mph,22.0,7.9,119.0
1983-1985,Fiat,Panda 4x4,Saloon,Popular Cl...,17.2 secs,83mph,13.0,17.2,83.0
1963-1966,Ford (UK),Lotus Cortina,Saloon,Popular Cl...,8.0 secs,108mph,28.0,8.0,108.0
1970-1973,Ford (UK),Escort RS 1600,Saloon,Popular Cl...,8.3 secs,116mph,25.0,8.3,116.0
1970-1974,Ford (UK),Capri RS2600,Coupe,Grand Tour...,8.4 secs,124mph,25.0,8.4,124.0
1984-1986,Ford (UK),RS200,Coupe,Competitio...,5.0 secs,142mph,40.0,5.0,142.0
1986-1992,Ford (UK),Sierra RS Cosworth,Saloon,Getaway Ca...,6.3 secs,146mph,15.0,6.3,146.0
1908-1927,Ford (USA),Model T,Convertibl...,"Film Star,...",-,45mph,10.0,,45.0
