Year,Make,Model,Body,Category,0-60,Top Speed,Rating
Sort,Sort,Sort,Sort,Sort,Sort,Sort,Sort
1955-1959,Abarth,750 GT Zagato,Coupe,Sports-Rac...,15.0 secs,89mph,50
1960-1971,Abarth,1000,Saloon,Getaway Ca...,-,100mph,45
1963-1964,Abarth,Simca 2000,Coupe,Sports-Rac...,6.0 secs,160mph,65
1963-1971,Abarth,595,Saloon,Microcar,28.3 secs,75mph,46
1965-1968,Abarth,OT 1300,Coupe,Sports-Rac...,7.0 secs,150mph,63
1953-1971,AC,Ace,Convertibl...,Grand Tour...,-,125mph,63
1954-1963,AC,Aceca,Coupe,Grand Tour...,13.4 secs,102-130mph,48
1962-1966,AC,Cobra 289,Convertibl...,Grand Tour...,5.2 secs,138mph,72
1965-1967,AC,Cobra 427,Convertibl...,Grand Tour...,4.5 secs,150mph,76
1965-1973,AC,428,Convertibl...,Grand Tour...,6.0 secs,144mph,48
1922-1925,Alfa Romeo,RL,Coachbuilt,Grand Tour...,18.0 secs,85mph,64
1927-1929,Alfa Romeo,6C 1500,Coachbuilt,Grand Tour...,20.0 secs,75mph,62
1930-1933,Alfa Romeo,6C 1750,Coachbuilt,Grand Tour...,14.0 secs,95mph,77
1931-1934,Alfa Romeo,8C 2300,Coachbuilt,Grand Tour...,10.0 secs,115mph,88
1932-1935,Alfa Romeo,Tipo B Monoposto,Single Sea...,Competitio...,5.2 secs,162mph,80
1934-1937,Alfa Romeo,6C 2300,Coachbuilt,Grand Tour...,17.0 secs,94mph,62
1937-1938,Alfa Romeo,8C 2900,Coachbuilt,Grand Tour...,10.0 secs,130mph,92
1939-1953,Alfa Romeo,6C 2500,Coachbuilt,Grand Tour...,14.0 secs,105mph,60
1953-1959,Alfa Romeo,1900SS Zagato,Coupe,Grand Tour...,11.0 secs,112mph,68
1954-1962,Alfa Romeo,Giulietta Sprint,Coupe,Grand Tour...,14.8 secs,103mph,38
1956-1962,Alfa Romeo,Giulietta Spider,Convertibl...,Grand Tour...,14.0 secs,102mph,50
1959-1966,Alfa Romeo,Giulia SS,Coupe,Grand Tour...,12.0 secs,122mph,51
1960-1963,Alfa Romeo,Giulietta SZ,Coupe,Grand Tour...,11.0 secs,125mph,68
1962-1966,Alfa Romeo,2600 Spider,Convertibl...,Grand Tour...,11.1 secs,124mph,40
